"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08085","0","10","70","0","1990","A","","Montrose County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",832,8347,141447211,0,0,326,16947,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",28,3.5,343,4.3,7467238,5.6,-57613260,-100.0,-1083076,-100.0,5,1.6,208,1.2
"08085","1","10","71","0","1990","A","","Montrose County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,313,10056810,0,0,618,32113,"",3.32,1.27,1.87,0.00,0.00,1.48,1.48,"",0,0.0,2,0.6,374374,3.9,0,0.0,0,0.0,20,3.3,980,3.1
"08085","1","102","72","0","1990","A","","Montrose County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,312,10045284,0,0,618,32153,"",3.18,1.32,1.95,0.00,0.00,1.48,1.48,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","1021","73","0","1990","A","","Montrose County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,57,1464724,0,0,492,25585,"",2.90,0.77,0.90,0.00,0.00,1.15,1.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","1023","73","0","1990","A","","Montrose County, Colorado","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,56771,0,0,364,18924,"",3.93,1.08,0.90,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","1026","73","0","1990","A","","Montrose County, Colorado","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,16,318526,0,0,379,19703,"",8.33,3.18,6.00,0.00,0.00,1.87,1.87,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","1028","73","0","1990","A","","Montrose County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,236,8205263,0,0,669,34768,"",3.36,1.84,2.94,0.00,0.00,1.60,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","48-49","74","0","1990","A","","Montrose County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,57,1464724,0,0,492,25585,"",2.99,0.85,0.95,0.00,0.00,1.11,1.11,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","491","75","0","1990","A","","Montrose County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,57,1464724,0,0,492,25585,"",3.05,0.90,1.01,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","4911","76","0","1990","A","","Montrose County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,57,1464724,0,0,492,25585,"",3.05,0.90,1.01,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","49111","77","0","1990","A","","Montrose County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,57,1464724,0,0,492,25585,"",3.05,0.90,1.01,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","491110","78","0","1990","A","","Montrose County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,57,1464724,0,0,492,25585,"",3.05,0.90,1.01,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","52","74","0","1990","A","","Montrose County, Colorado","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,3,56771,0,0,364,18924,"",3.94,1.10,0.91,0.00,0.00,0.83,0.83,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","522","75","0","1990","A","","Montrose County, Colorado","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,56771,0,0,364,18924,"",4.59,2.91,3.08,0.00,0.00,1.06,1.05,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","5222","76","0","1990","A","","Montrose County, Colorado","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,56771,0,0,364,18924,"",4.60,2.92,3.08,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","52229","77","0","1990","A","","Montrose County, Colorado","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,56771,0,0,364,18924,"",4.60,2.92,3.08,0.00,0.00,1.06,1.06,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","522292","78","0","1990","A","","Montrose County, Colorado","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,56771,0,0,364,18924,"",10.06,6.13,6.64,0.00,0.00,1.08,1.08,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","71","74","0","1990","A","","Montrose County, Colorado","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,318526,0,0,379,19703,"",13.48,5.03,8.08,0.00,0.00,1.59,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","712","75","0","1990","A","","Montrose County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,318526,0,0,379,19703,"",20.60,9.60,11.74,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","7121","76","0","1990","A","","Montrose County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,318526,0,0,379,19703,"",20.60,9.60,11.74,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","71219","77","0","1990","A","","Montrose County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,318526,0,0,379,19703,"",23.37,13.84,18.41,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","712190","78","0","1990","A","","Montrose County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,318526,0,0,379,19703,"",23.37,13.84,18.41,0.00,0.00,1.32,1.32,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","92","74","0","1990","A","","Montrose County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,236,8205263,0,0,669,34768,"",3.36,1.84,2.94,0.00,0.00,1.60,1.59,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","923","75","0","1990","A","","Montrose County, Colorado","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,248592,0,0,546,28411,"",3.88,0.84,0.99,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","9231","76","0","1990","A","","Montrose County, Colorado","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,248592,0,0,546,28411,"",3.88,0.84,0.99,0.00,0.00,1.21,1.21,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","92313","77","0","1990","A","","Montrose County, Colorado","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,248592,0,0,546,28411,"",5.28,1.49,1.87,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","923130","78","0","1990","A","","Montrose County, Colorado","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,248592,0,0,546,28411,"",5.28,1.49,1.87,0.00,0.00,1.29,1.29,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","924","75","0","1990","A","","Montrose County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,121,3703207,0,0,587,30521,"",5.79,13.83,19.91,0.00,0.00,1.43,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","1","9241","76","0","1990","A","","Montrose County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,121,3703207,0,0,587,30521,"",5.79,13.83,19.91,0.00,0.00,1.43,1.44,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
